"","Peak.Brightness.Date.Time..UT.","Latitude..deg..","Longitude..deg..","Altitude..km.","Velocity..km.s.","Calculated.Total.Impact.Energy..kt.","Altitud.sin","Velocidad.sin","Altitud.Clase"
"60","2016-01-21 16:44:54","10.8S","0.7E",42.5,18.1,0.15,42.5,18.1,"Estratosfera"
"61","2015-12-30 13:07:50","33.8N","160.7W",39,NA,0.079,39,14.7,"Estratosfera"
"62","2015-12-21 02:32:48","5.9N","143.0E",42.2,12.1,0.26,42.2,12.1,"Estratosfera"
"63","2015-12-08 00:34:23","69.9S","150.5E",38,NA,0.55,38,11.4,"Estratosfera"
"64","2015-11-13 14:59:27","16.0N","124.3E",28,NA,0.31,28,14.7,"Estratosfera"
"65","2015-11-02 21:34:20","41.4S","33.0E",37,NA,0.24,37,16.7,"Estratosfera"
"66","2015-10-31 11:34:30","9.0N","138.0W",71,NA,0.29,71,15.9,"Mesosfera"
"67","2015-10-13 12:23:08","8.0S","52.5W",38.9,12.9,0.082,38.9,12.9,"Estratosfera"
"68","2015-10-11 00:07:46","55.4S","18.8W",NA,NA,0.1,64.5,11.4,"Mesosfera"
"69","2015-10-10 09:57:51","51.0S","21.1W",51.8,11.8,0.12,51.8,11.8,"Mesosfera"
"70","2015-10-04 21:02:17","22.0N","171.6W",36.1,NA,0.15,36.1,15.9,"Estratosfera"
"71","2015-09-17 21:03:14","43.1S","94.9E",NA,NA,0.3,38,14.6,"Estratosfera"
"72","2015-09-14 23:50:50","5.8N","15.2W",NA,NA,0.22,33.3,11.4,"Estratosfera"
"73","2015-09-08 13:46:42","6.3N","29.9E",44.4,16.1,0.073,44.4,16.1,"Estratosfera"
"74","2015-09-07 01:41:19","14.5N","98.9E",29.3,21,3.9,29.3,21,"Estratosfera"
"75","2015-09-02 20:10:30","39.1N","40.2E",39.8,24.1,0.13,39.8,24.1,"Estratosfera"
"76","2015-07-19 07:06:26","20.6N","87.6W",22,17.8,0.082,22,17.8,"Estratosfera"
"77","2015-07-12 22:23:14","31.0N","159.6E",41,NA,0.079,41,16.7,"Estratosfera"
"78","2015-07-04 01:40:11","38.6N","103.1E",46.3,49,0.18,46.3,49,"Estratosfera"
"79","2015-06-14 03:03:06","6.3N","124.1E",32.4,31.9,0.22,32.4,31.9,"Estratosfera"
"80","2015-06-12 17:03:35","1.3S","32.1W",43.5,NA,0.5,43.5,11.4,"Estratosfera"
"81","2015-06-10 17:43:03","11.5S","161.9W",61.1,NA,1,61.1,16.7,"Mesosfera"
"82","2015-06-02 08:44:50","6.4S","142.7W",NA,NA,0.99,33.3,14.6,"Estratosfera"
"83","2015-05-20 10:20:41","1.0N","172.6E",32.4,NA,0.12,32.4,16.7,"Estratosfera"
"84","2015-05-18 17:13:51","32.4N","139.1E",29,NA,0.14,29,14.6,"Estratosfera"
"85","2015-05-10 07:45:01","46.3S","179.3W",29.6,12.2,0.42,29.6,12.2,"Estratosfera"
