"","Object.Designation..","Year.Range..","Potential.Impacts..","Impact.Probability..cumulative.","Vinfinity..km.s.","H..mag.","Estimated.Diameter..km.","Palermo.Scale..cum..","FechaProx.Clase","Probabilidad.Log","BrilloH.Clase","Palermo.Clase","Fecha.Min","Fecha.Max"
"444","2010 FD","2085-2104",3,1.3e-06,9.79,26,0.021,-6.57,"Muy Largo Plazo",-13.5531462934968,"Nivel Medio","Nivel Medio",2085,2104
"445","2015 UH52","2075-2102",4,1.2e-06,11.2,26,0.022,-6.58,"Muy Largo Plazo",-13.6331890011703,"Nivel Medio","Nivel Medio",2075,2102
"446","2013 YB","2018-2063",27,7.5e-05,8.95,31.4,0.002,-6.59,"Medio Plazo",-9.49802244442796,"Nivel Alto","Nivel Medio",2018,2063
"447","2011 YC63","2034-2048",4,4.5e-06,18.83,29,0.005,-6.6,"Largo Plazo",-12.311433161188,"Nivel Alto","Nivel Medio",2034,2048
"448","2009 YR","2060-2087",8,1.1e-05,3.12,28,0.009,-6.61,"Muy Largo Plazo",-11.4176152851659,"Nivel Alto","Nivel Medio",2060,2087
"449","2017 TB","2054-2117",54,5.1e-05,5.79,29.1,0.005,-6.61,"Muy Largo Plazo",-9.88368492523995,"Nivel Alto","Nivel Medio",2054,2117
"450","2017 UK52","2019-2117",236,5.5e-07,13.93,26.9,0.015,-6.61,"Medio Plazo",-14.4133475587199,"Nivel Medio","Nivel Medio",2019,2117
"451","2012 KP24","2032-2032",1,3.4e-07,12.74,26.4,0.017,-6.62,"Largo Plazo",-14.8943202193362,"Nivel Medio","Nivel Medio",2032,2032
"452","2016 EV84","2056-2117",8,2.8e-06,7.41,26.8,0.015,-6.62,"Muy Largo Plazo",-12.7858911407831,"Nivel Medio","Nivel Medio",2056,2117
"453","2016 XP23","2110-2110",1,6.4e-10,24.85,19.8,0.37,-6.62,"Muy Largo Plazo",-21.1695529395748,"Nivel Bajo","Nivel Medio",2110,2110
"454","2017 UA45","2099-2112",5,2e-06,5.42,25.9,0.022,-6.62,"Muy Largo Plazo",-13.1223633774043,"Nivel Medio","Nivel Medio",2099,2112
"455","2015 CL13","2090-2106",4,6.5e-07,13.7,25.7,0.025,-6.63,"Muy Largo Plazo",-14.2462934740567,"Nivel Medio","Nivel Medio",2090,2106
"456","1997 UA11","2073-2073",1,2.9e-07,11.96,25.1,0.032,-6.64,"Muy Largo Plazo",-15.0533849139659,"Nivel Bajo","Nivel Medio",2073,2073
"457","2003 UQ25","2093-2093",1,9.4e-08,18.01,24.2,0.049,-6.64,"Muy Largo Plazo",-16.1799710546764,"Nivel Bajo","Nivel Medio",2093,2093
"458","2005 GQ33","2023-2110",24,2.8e-08,20.92,23.7,0.063,-6.64,"Medio Plazo",-17.3910613267712,"Nivel Bajo","Nivel Medio",2023,2110
"459","2014 QN266","2078-2109",3,2e-06,2.85,26.2,0.019,-6.64,"Muy Largo Plazo",-13.1223633774043,"Nivel Medio","Nivel Medio",2078,2109
"460","2017 RP16","2065-2112",11,4.1e-06,10.33,27.2,0.012,-6.64,"Muy Largo Plazo",-12.404523584254,"Nivel Medio","Nivel Medio",2065,2112
"461","2015 HQ182","2020-2114",188,1.6e-07,6.61,25,0.034,-6.65,"Medio Plazo",-15.6480920217126,"Nivel Bajo","Nivel Medio",2020,2114
"462","2016 JP38","2020-2078",29,2.1e-08,9.71,24.4,0.044,-6.65,"Medio Plazo",-17.678743399223,"Nivel Bajo","Nivel Medio",2020,2078
"463","2008 OO1","2107-2107",1,2.3e-07,12.96,24.6,0.041,-6.66,"Muy Largo Plazo",-15.2851865280232,"Nivel Bajo","Nivel Medio",2107,2107
"464","2011 AZ36","2026-2116",176,4.1e-07,7.61,25.1,0.032,-6.66,"Largo Plazo",-14.7071086772481,"Nivel Bajo","Nivel Medio",2026,2116
"465","2016 JL38","2023-2116",108,6e-07,2.89,26.2,0.02,-6.66,"Medio Plazo",-14.3263361817303,"Nivel Medio","Nivel Medio",2023,2116
"466","2007 SN6","2022-2059",2,1.1e-07,18.32,25,0.033,-6.67,"Medio Plazo",-16.022785471154,"Nivel Bajo","Nivel Medio",2022,2059
"467","2015 WP2","2080-2116",22,7.6e-05,12.62,30.1,0.003,-6.67,"Muy Largo Plazo",-9.48477721767794,"Nivel Alto","Nivel Medio",2080,2116
"468","2008 BC15","2072-2094",2,9.2e-07,20.66,26.6,0.016,-6.68,"Muy Largo Plazo",-13.8988921669033,"Nivel Medio","Nivel Medio",2072,2094
"469","2010 XQ","2021-2116",69,2.1e-07,9.79,25.2,0.031,-6.68,"Medio Plazo",-15.3761583062289,"Nivel Bajo","Nivel Medio",2021,2116
"470","2013 TV132","2099-2115",6,2.6e-06,9.16,26.5,0.017,-6.68,"Muy Largo Plazo",-12.8599991129368,"Nivel Medio","Nivel Medio",2099,2115
"471","1997 TC25","2096-2096",1,2.6e-07,9.89,24.7,0.039,-6.7,"Muy Largo Plazo",-15.1625842059309,"Nivel Bajo","Nivel Medio",2096,2096
"472","2014 MB6","2052-2075",2,8.1e-07,13.07,26.2,0.019,-6.7,"Muy Largo Plazo",-14.0262315892799,"Nivel Medio","Nivel Medio",2052,2075
"473","2006 WM3","2113-2113",1,5.8e-08,10.41,23.2,0.078,-6.7,"Muy Largo Plazo",-16.6628228264,"Nivel Bajo","Nivel Medio",2113,2113
"474","1993 UA","2111-2111",2,7.1e-07,9.4,25.4,0.028,-6.71,"Muy Largo Plazo",-14.1580008669111,"Nivel Bajo","Nivel Medio",2111,2111
