"","Object.Designation..","Year.Range..","Potential.Impacts..","Impact.Probability..cumulative.","Vinfinity..km.s.","H..mag.","Estimated.Diameter..km.","Palermo.Scale..cum..","FechaProx.Clase","Probabilidad.Log","BrilloH.Clase","Palermo.Clase","Fecha.Min","Fecha.Max"
"555","2015 YM1","2096-2115",5,6.9e-06,6.81,28.4,0.007,-7.14,"Muy Largo Plazo",-11.8839891463611,"Nivel Alto","Nivel Medio",2096,2115
"556","2016 AU193","2109-2109",1,9.4e-08,21.77,25.3,0.03,-7.15,"Muy Largo Plazo",-16.1799710546764,"Nivel Bajo","Nivel Medio",2109,2109
"557","2012 CR","2025-2025",1,1.2e-10,14.18,21,0.21,-7.16,"Largo Plazo",-22.8435293731465,"Nivel Bajo","Nivel Medio",2025,2025
"558","2016 RQ41","2116-2116",1,1.7e-10,30.5,20,0.35,-7.16,"Muy Largo Plazo",-22.4952226788783,"Nivel Bajo","Nivel Medio",2116,2116
"559","2008 UA92","2078-2078",1,1.3e-06,8.38,27.3,0.012,-7.18,"Muy Largo Plazo",-13.5531462934968,"Nivel Medio","Nivel Medio",2078,2078
"560","2016 TQ54","2096-2113",7,1.7e-06,9,27.3,0.012,-7.18,"Muy Largo Plazo",-13.2848823069021,"Nivel Medio","Nivel Medio",2096,2113
"561","2016 WT","2072-2115",33,2.4e-05,10.71,29.7,0.004,-7.18,"Muy Largo Plazo",-10.6374567276163,"Nivel Alto","Nivel Medio",2072,2115
"562","2005 UA1","2036-2036",1,9.1e-08,14.68,26.4,0.018,-7.19,"Largo Plazo",-16.2124063304296,"Nivel Medio","Nivel Medio",2036,2036
"563","2010 CK19","2089-2116",7,4.4e-06,5.01,27.9,0.009,-7.19,"Muy Largo Plazo",-12.3339060170401,"Nivel Alto","Nivel Medio",2089,2116
"564","2008 HC38","2029-2029",1,4.4e-08,14.05,26.1,0.02,-7.2,"Largo Plazo",-16.9390762030282,"Nivel Medio","Nivel Medio",2029,2029
"565","2012 SU9","2084-2111",6,1.4e-06,10.85,27.2,0.012,-7.21,"Muy Largo Plazo",-13.4790383213431,"Nivel Medio","Nivel Medio",2084,2111
"566","2014 HE199","2039-2039",1,2.4e-08,14.5,25,0.033,-7.21,"Largo Plazo",-17.5452120065985,"Nivel Bajo","Nivel Medio",2039,2039
"567","2011 FA23","2025-2102",6,3.6e-06,14.34,28.9,0.006,-7.22,"Largo Plazo",-12.5345767125022,"Nivel Alto","Nivel Medio",2025,2102
"568","2010 VN1","2050-2066",5,1.9e-06,10.98,28.3,0.007,-7.23,"Muy Largo Plazo",-13.1736566717919,"Nivel Alto","Nivel Medio",2050,2066
"569","2016 EG28","2079-2108",6,1.8e-06,14.66,27.8,0.009,-7.23,"Muy Largo Plazo",-13.2277238930622,"Nivel Alto","Nivel Medio",2079,2108
"570","2011 SE58","2042-2055",3,5.8e-07,15.69,27.6,0.01,-7.25,"Largo Plazo",-14.3602377334059,"Nivel Alto","Nivel Medio",2042,2055
"571","2014 KC45","2066-2110",20,1.2e-05,8.91,29.4,0.004,-7.25,"Muy Largo Plazo",-11.3306039081763,"Nivel Alto","Nivel Medio",2066,2110
"572","2004 XG29","2112-2114",2,2.5e-07,5.1,25.4,0.029,-7.26,"Muy Largo Plazo",-15.2018049190842,"Nivel Bajo","Nivel Medio",2112,2114
"573","2010 XC","2018-2111",330,3e-06,3.94,29.1,0.005,-7.26,"Medio Plazo",-12.7168982692962,"Nivel Alto","Nivel Medio",2018,2111
"574","2006 DO62","2036-2095",13,1.8e-06,11.3,28.3,0.008,-7.27,"Largo Plazo",-13.2277238930622,"Nivel Alto","Nivel Medio",2036,2095
"575","2014 HJ197","2045-2117",32,2.4e-05,4.48,30.3,0.003,-7.27,"Largo Plazo",-10.6374567276163,"Nivel Alto","Nivel Medio",2045,2117
"576","2010 VR139","2019-2076",14,4.6e-08,5.43,26.7,0.016,-7.27,"Medio Plazo",-16.8946244404573,"Nivel Medio","Nivel Medio",2019,2076
"577","2002 EM7","2117-2117",2,6.1e-08,10.28,24.4,0.045,-7.27,"Muy Largo Plazo",-16.6123919727731,"Nivel Bajo","Nivel Medio",2117,2117
"578","2017 KC36","2037-2061",3,6.5e-07,11.93,27.4,0.011,-7.27,"Largo Plazo",-14.2462934740567,"Nivel Alto","Nivel Medio",2037,2061
"579","2017 RX17","2029-2116",43,3.3e-07,7.54,26.9,0.014,-7.28,"Largo Plazo",-14.9241731824859,"Nivel Medio","Nivel Medio",2029,2116
"580","2017 BK30","2085-2085",2,9e-07,9.95,27.2,0.012,-7.3,"Muy Largo Plazo",-13.9208710736221,"Nivel Medio","Nivel Medio",2085,2085
"581","2014 JU79","2030-2101",10,4.2e-09,6.31,23,0.084,-7.3,"Largo Plazo",-19.2881813116571,"Nivel Bajo","Nivel Medio",2030,2101
"582","2015 HS182","2018-2113",114,5.2e-08,7.35,25.8,0.023,-7.3,"Medio Plazo",-16.772022118365,"Nivel Medio","Nivel Medio",2018,2113
"583","2016 BQ15","2072-2098",2,4.1e-08,21.04,25.1,0.032,-7.3,"Muy Largo Plazo",-17.0096937702421,"Nivel Bajo","Nivel Medio",2072,2098
"584","2008 BN16","2083-2083",1,1.1e-07,18.62,25.9,0.022,-7.32,"Muy Largo Plazo",-16.022785471154,"Nivel Medio","Nivel Medio",2083,2083
"585","2012 TU231","2111-2111",1,3.8e-07,9.97,26.2,0.02,-7.33,"Muy Largo Plazo",-14.783094584226,"Nivel Medio","Nivel Medio",2111,2111
"586","2014 WE6","2104-2109",5,4.7e-05,4.42,30.3,0.003,-7.33,"Muy Largo Plazo",-9.96536295625422,"Nivel Alto","Nivel Medio",2104,2109
"587","2016 TC57","2112-2112",1,1.1e-06,8.74,27,0.013,-7.33,"Muy Largo Plazo",-13.7202003781599,"Nivel Medio","Nivel Medio",2112,2112
"588","2016 WN7","2095-2095",1,2.6e-06,6.16,27.9,0.009,-7.33,"Muy Largo Plazo",-12.8599991129368,"Nivel Alto","Nivel Medio",2095,2095
"589","2006 XZ2","2074-2115",6,7.5e-07,9.05,27.1,0.013,-7.34,"Muy Largo Plazo",-14.1031926304161,"Nivel Medio","Nivel Medio",2074,2115
"590","2008 KT","2091-2116",9,5.3e-06,2.99,28.2,0.008,-7.34,"Muy Largo Plazo",-12.1478037374062,"Nivel Alto","Nivel Medio",2091,2116
"591","2011 UD21","2116-2116",1,7.4e-06,1.32,28.5,0.007,-7.35,"Muy Largo Plazo",-11.8140305577541,"Nivel Alto","Nivel Medio",2116,2116
"592","2016 LE10","2035-2072",3,4e-07,12.63,27.1,0.013,-7.35,"Largo Plazo",-14.7318012898384,"Nivel Medio","Nivel Medio",2035,2072
"593","2016 TH","2072-2115",26,9.3e-06,7.41,29.4,0.004,-7.39,"Muy Largo Plazo",-11.5854961578051,"Nivel Alto","Nivel Bajo",2072,2115
"594","2017 DP109","2086-2086",2,4.3e-07,12.33,26.9,0.014,-7.39,"Muy Largo Plazo",-14.6594806282588,"Nivel Medio","Nivel Bajo",2086,2086
"595","2013 JM22","2095-2095",1,3.2e-09,29.67,23.3,0.075,-7.39,"Muy Largo Plazo",-19.5601150271407,"Nivel Bajo","Nivel Bajo",2095,2095
"596","2011 EM40","2054-2113",12,1.4e-06,10.7,28,0.009,-7.4,"Muy Largo Plazo",-13.4790383213431,"Nivel Alto","Nivel Bajo",2054,2113
"597","2015 VL64","2085-2109",8,3e-06,8.68,28.3,0.007,-7.4,"Muy Largo Plazo",-12.7168982692962,"Nivel Alto","Nivel Bajo",2085,2109
"598","2006 WK130","2103-2103",1,2e-09,20.74,22.4,0.11,-7.41,"Muy Largo Plazo",-20.0301186563865,"Nivel Bajo","Nivel Bajo",2103,2103
"599","2007 EE126","2065-2092",3,3.2e-08,31.6,25.6,0.026,-7.41,"Muy Largo Plazo",-17.2575299341467,"Nivel Medio","Nivel Bajo",2065,2092
"600","2012 UE","2040-2058",6,9.3e-07,13.22,28.4,0.007,-7.41,"Largo Plazo",-13.8880812507991,"Nivel Alto","Nivel Bajo",2040,2058
"601","2016 WR55","2100-2115",13,2.5e-06,14.12,28.3,0.007,-7.41,"Muy Largo Plazo",-12.8992198260901,"Nivel Alto","Nivel Bajo",2100,2115
"602","1993 HP1","2065-2112",4,4.5e-07,9.84,26.9,0.014,-7.42,"Muy Largo Plazo",-14.614018254182,"Nivel Medio","Nivel Bajo",2065,2112
"603","2008 CJ","2061-2106",2,1.1e-06,8.06,27.3,0.012,-7.42,"Muy Largo Plazo",-13.7202003781599,"Nivel Medio","Nivel Bajo",2061,2106
"604","2017 WY27","2045-2116",13,2.1e-06,8.1,27.9,0.009,-7.42,"Largo Plazo",-13.0735732132349,"Nivel Alto","Nivel Bajo",2045,2116
"605","2009 WJ6","2049-2056",2,3e-07,18.16,27.6,0.01,-7.43,"Largo Plazo",-15.0194833622902,"Nivel Alto","Nivel Bajo",2049,2056
"606","2016 VZ17","2021-2116",179,4.1e-07,9.72,27.4,0.011,-7.43,"Medio Plazo",-14.7071086772481,"Nivel Alto","Nivel Bajo",2021,2116
"607","2001 SD286","2080-2080",1,5.7e-08,12.56,25.2,0.03,-7.44,"Muy Largo Plazo",-16.6802145691119,"Nivel Bajo","Nivel Bajo",2080,2080
"608","2008 CB6","2083-2105",3,7.2e-07,7.43,27.1,0.013,-7.44,"Muy Largo Plazo",-14.1440146249363,"Nivel Medio","Nivel Bajo",2083,2105
"609","2016 JA","2064-2103",9,1e-06,7.59,27.5,0.011,-7.44,"Muy Largo Plazo",-13.8155105579643,"Nivel Alto","Nivel Bajo",2064,2103
"610","2016 SR2","2103-2105",2,3.9e-07,5.96,26.3,0.019,-7.44,"Muy Largo Plazo",-14.7571190978227,"Nivel Medio","Nivel Bajo",2103,2105
"611","2011 AZ22","2034-2114",8,1.1e-06,12.52,28.6,0.006,-7.45,"Largo Plazo",-13.7202003781599,"Nivel Alto","Nivel Bajo",2034,2114
"612","2011 UR63","2110-2110",2,1.4e-07,12.57,25.7,0.024,-7.45,"Muy Largo Plazo",-15.7816234143371,"Nivel Medio","Nivel Bajo",2110,2110
"613","2017 SQ2","2092-2092",1,1.6e-07,9.76,25.9,0.023,-7.45,"Muy Largo Plazo",-15.6480920217126,"Nivel Medio","Nivel Bajo",2092,2092
"614","2010 XP","2021-2116",73,1.4e-07,8.25,26.8,0.015,-7.46,"Medio Plazo",-15.7816234143371,"Nivel Medio","Nivel Bajo",2021,2116
"615","2014 KS76","2089-2107",3,4.4e-07,7.18,26.6,0.016,-7.46,"Muy Largo Plazo",-14.6364911100341,"Nivel Medio","Nivel Bajo",2089,2107
"616","2004 FY3","2104-2116",2,7.5e-08,11.79,25.1,0.032,-7.47,"Muy Largo Plazo",-16.4057777234101,"Nivel Bajo","Nivel Bajo",2104,2116
"617","2015 VN64","2088-2094",3,6.2e-07,15.86,27.5,0.01,-7.47,"Muy Largo Plazo",-14.2935463589073,"Nivel Alto","Nivel Bajo",2088,2094
"618","2016 QY84","2020-2116",815,2.7e-05,3.16,31.7,0.002,-7.47,"Medio Plazo",-10.5196736919599,"Nivel Alto","Nivel Bajo",2020,2116
"619","2015 VO142","2046-2110",13,6.4e-06,2.8,29,0.005,-7.48,"Largo Plazo",-11.9592125675986,"Nivel Alto","Nivel Bajo",2046,2110
"620","2017 GF8","2047-2110",5,6.5e-09,9.36,23.3,0.075,-7.48,"Largo Plazo",-18.8514636600448,"Nivel Bajo","Nivel Bajo",2047,2110
"621","2011 AD3","2027-2116",74,1.6e-07,12.63,26.6,0.017,-7.49,"Largo Plazo",-15.6480920217126,"Nivel Medio","Nivel Bajo",2027,2116
"622","2014 HN197","2041-2041",2,2.6e-10,8.35,21.1,0.204,-7.5,"Largo Plazo",-22.070339484913,"Nivel Bajo","Nivel Bajo",2041,2041
"623","2007 XB23","2078-2115",10,6.7e-07,4.58,27.1,0.013,-7.51,"Muy Largo Plazo",-14.2159881245614,"Nivel Medio","Nivel Bajo",2078,2115
"624","2003 DW10","2046-2058",2,8.7e-08,7.83,26.1,0.02,-7.52,"Largo Plazo",-16.2573577182918,"Nivel Medio","Nivel Bajo",2046,2058
"625","2013 XS21","2079-2111",10,7.8e-06,7.5,29.4,0.004,-7.52,"Muy Largo Plazo",-11.7613868242687,"Nivel Alto","Nivel Bajo",2079,2111
"626","2014 HN198","2019-2117",98,2.5e-08,9.51,25.7,0.024,-7.52,"Medio Plazo",-17.5043900120782,"Nivel Medio","Nivel Bajo",2019,2117
"627","2002 AN129","2091-2091",1,1.3e-07,11.58,26,0.021,-7.54,"Muy Largo Plazo",-15.8557313864908,"Nivel Medio","Nivel Bajo",2091,2091
"628","2016 EL1","2068-2109",6,5.4e-07,19.9,27.8,0.009,-7.56,"Muy Largo Plazo",-14.4316966973881,"Nivel Alto","Nivel Bajo",2068,2109
"629","2015 EG","2115-2115",1,1.3e-07,9.56,25.7,0.025,-7.57,"Muy Largo Plazo",-15.8557313864908,"Nivel Medio","Nivel Bajo",2115,2115
"630","2017 FW158","2067-2115",16,1.4e-06,15,28.4,0.007,-7.57,"Muy Largo Plazo",-13.4790383213431,"Nivel Alto","Nivel Bajo",2067,2115
"631","2017 OO1","2115-2115",1,3.5e-08,10.04,24.5,0.042,-7.57,"Muy Largo Plazo",-17.167917775457,"Nivel Bajo","Nivel Bajo",2115,2115
"632","2007 FP3","2055-2113",13,2e-06,9.65,28.4,0.007,-7.58,"Muy Largo Plazo",-13.1223633774043,"Nivel Alto","Nivel Bajo",2055,2113
"633","2017 UL5","2100-2111",2,2.6e-07,8.14,26.4,0.018,-7.58,"Muy Largo Plazo",-15.1625842059309,"Nivel Medio","Nivel Bajo",2100,2111
"634","2007 EH26","2110-2110",1,1.2e-08,20.17,24.2,0.048,-7.59,"Muy Largo Plazo",-18.2383591871584,"Nivel Bajo","Nivel Bajo",2110,2110
"635","2017 UQ7","2096-2096",1,4.2e-08,14.07,25.2,0.031,-7.59,"Muy Largo Plazo",-16.985596218663,"Nivel Bajo","Nivel Bajo",2096,2096
"636","2007 VD8","2023-2112",59,3.5e-07,12.65,27.7,0.01,-7.6,"Medio Plazo",-14.865332682463,"Nivel Alto","Nivel Bajo",2023,2112
"637","2017 FB102","2051-2102",5,2e-07,8.78,26.8,0.015,-7.6,"Muy Largo Plazo",-15.4249484703984,"Nivel Medio","Nivel Bajo",2051,2102
"638","2016 PA79","2037-2102",10,1.1e-08,12.69,24.3,0.047,-7.6,"Largo Plazo",-18.325370564148,"Nivel Bajo","Nivel Bajo",2037,2102
"639","2013 CY","2072-2111",7,2.2e-06,2.42,28.2,0.008,-7.61,"Muy Largo Plazo",-13.0270531976,"Nivel Alto","Nivel Bajo",2072,2111
"640","2017 CY32","2041-2110",7,4.1e-07,19.78,28.4,0.007,-7.61,"Largo Plazo",-14.7071086772481,"Nivel Alto","Nivel Bajo",2041,2110
"641","2008 EK68","2018-2117",244,3.2e-06,7.62,29.8,0.004,-7.63,"Medio Plazo",-12.6523597481586,"Nivel Alto","Nivel Bajo",2018,2117
"642","2008 JD33","2018-2117",160,2.6e-07,4.64,28.1,0.009,-7.63,"Medio Plazo",-15.1625842059309,"Nivel Alto","Nivel Bajo",2018,2117
"643","2008 YD3","2021-2110",30,5.3e-08,9.17,26,0.022,-7.64,"Medio Plazo",-16.7529739233943,"Nivel Medio","Nivel Bajo",2021,2110
"644","2014 HV2","2116-2116",1,1.2e-07,13.17,26,0.021,-7.64,"Muy Largo Plazo",-15.9357740941644,"Nivel Medio","Nivel Bajo",2116,2116
"645","2014 HB177","2085-2099",2,1.7e-06,6.08,28.3,0.007,-7.65,"Muy Largo Plazo",-13.2848823069021,"Nivel Alto","Nivel Bajo",2085,2099
"646","2011 DX4","2023-2114",24,4.9e-08,17.66,26.5,0.017,-7.66,"Medio Plazo",-16.8314455388358,"Nivel Medio","Nivel Bajo",2023,2114
"647","2017 FA159","2022-2116",180,8.7e-07,6.96,28.6,0.006,-7.66,"Medio Plazo",-13.9547726252978,"Nivel Alto","Nivel Bajo",2022,2116
"648","2017 UL52","2030-2117",225,1.1e-06,5.89,28.1,0.008,-7.66,"Largo Plazo",-13.7202003781599,"Nivel Alto","Nivel Bajo",2030,2117
"649","2015 KH158","2043-2115",18,6.1e-08,14.41,26,0.021,-7.67,"Largo Plazo",-16.6123919727731,"Nivel Medio","Nivel Bajo",2043,2115
"650","2016 FC1","2082-2088",4,2.1e-06,15.19,29.1,0.005,-7.68,"Muy Largo Plazo",-13.0735732132349,"Nivel Alto","Nivel Bajo",2082,2088
"651","2011 EL40","2073-2073",1,8.6e-08,16.98,26.5,0.017,-7.68,"Muy Largo Plazo",-16.2689185406929,"Nivel Medio","Nivel Bajo",2073,2073
"652","2012 VV76","2074-2094",2,4.6e-08,14.73,25.6,0.026,-7.69,"Muy Largo Plazo",-16.8946244404573,"Nivel Medio","Nivel Bajo",2074,2094
"653","2008 UC202","2116-2116",3,2.4e-06,4.17,28.2,0.008,-7.69,"Muy Largo Plazo",-12.9400418206104,"Nivel Alto","Nivel Bajo",2116,2116
"654","2012 RU16","2036-2089",2,4.8e-08,9.13,25.6,0.026,-7.71,"Largo Plazo",-16.8520648260385,"Nivel Medio","Nivel Bajo",2036,2089
"655","2016 UB26","2066-2066",1,1.2e-08,18.33,25,0.034,-7.71,"Muy Largo Plazo",-18.2383591871584,"Nivel Bajo","Nivel Bajo",2066,2066
"656","2008 CM74","2079-2100",7,1.4e-06,4.08,28.1,0.008,-7.72,"Muy Largo Plazo",-13.4790383213431,"Nivel Alto","Nivel Bajo",2079,2100
"657","2005 UC3","2072-2109",2,3.8e-07,7.83,27.1,0.013,-7.74,"Muy Largo Plazo",-14.783094584226,"Nivel Medio","Nivel Bajo",2072,2109
"658","2014 WU200","2104-2111",3,4.8e-06,1.7,28.9,0.005,-7.74,"Muy Largo Plazo",-12.2468946400504,"Nivel Alto","Nivel Bajo",2104,2111
"659","2008 YC3","2086-2103",5,5.8e-08,6.24,25.4,0.029,-7.75,"Muy Largo Plazo",-16.6628228264,"Nivel Bajo","Nivel Bajo",2086,2103
"660","2009 MU","2096-2099",2,1.6e-08,13.33,24.6,0.042,-7.75,"Muy Largo Plazo",-17.9506771147066,"Nivel Bajo","Nivel Bajo",2096,2099
"661","2009 VT1","2046-2109",5,2.5e-06,6.97,29.6,0.004,-7.75,"Largo Plazo",-12.8992198260901,"Nivel Alto","Nivel Bajo",2046,2109
"662","2014 OP2","2071-2079",3,1.8e-06,11.63,29.1,0.005,-7.75,"Muy Largo Plazo",-13.2277238930622,"Nivel Alto","Nivel Bajo",2071,2079
"663","2016 FV7","2083-2083",1,9.1e-10,32.99,23.2,0.079,-7.75,"Muy Largo Plazo",-20.8175765164177,"Nivel Bajo","Nivel Bajo",2083,2083
"664","2016 TG94","2096-2116",16,6.9e-06,8.76,29.6,0.004,-7.76,"Muy Largo Plazo",-11.8839891463611,"Nivel Alto","Nivel Bajo",2096,2116
"665","2004 XO63","2065-2065",1,7.3e-08,8.16,26.1,0.021,-7.76,"Muy Largo Plazo",-16.432806395798,"Nivel Medio","Nivel Bajo",2065,2065
"666","2003 UM3","2022-2115",37,4.5e-07,13.43,28,0.008,-7.77,"Medio Plazo",-14.614018254182,"Nivel Alto","Nivel Bajo",2022,2115
"667","2017 BE30","2100-2100",1,8.3e-08,16.69,26.3,0.018,-7.79,"Muy Largo Plazo",-16.3044252291498,"Nivel Medio","Nivel Bajo",2100,2100
"668","2017 KH5","2067-2074",2,2.4e-07,14.82,27.6,0.01,-7.8,"Muy Largo Plazo",-15.2426269136044,"Nivel Alto","Nivel Bajo",2067,2074
"669","2010 GV23","2096-2105",2,7.3e-07,5.42,27.6,0.01,-7.81,"Muy Largo Plazo",-14.130221302804,"Nivel Alto","Nivel Bajo",2096,2105
"670","2015 FC345","2097-2109",3,8.5e-07,6.76,27.8,0.009,-7.81,"Muy Largo Plazo",-13.978029487462,"Nivel Alto","Nivel Bajo",2097,2109
"671","2017 TT3","2059-2102",2,3.3e-08,8.69,25.6,0.026,-7.81,"Muy Largo Plazo",-17.2267582754799,"Nivel Medio","Nivel Bajo",2059,2102
"672","2015 KH160","2087-2107",3,3.5e-08,30.01,26.4,0.018,-7.82,"Muy Largo Plazo",-17.167917775457,"Nivel Medio","Nivel Bajo",2087,2107
"673","2004 FM4","2116-2116",1,1.5e-08,14.82,24.6,0.042,-7.82,"Muy Largo Plazo",-18.0152156358442,"Nivel Bajo","Nivel Bajo",2116,2116
"674","2017 UW5","2081-2111",2,1.2e-06,13.01,28.7,0.006,-7.84,"Muy Largo Plazo",-13.6331890011703,"Nivel Alto","Nivel Bajo",2081,2111
"675","2008 GY21","2038-2115",45,2.3e-07,11.16,27.6,0.01,-7.85,"Largo Plazo",-15.2851865280232,"Nivel Alto","Nivel Bajo",2038,2115
"676","2011 FQ16","2105-2114",4,6.5e-07,7.99,27.7,0.01,-7.86,"Muy Largo Plazo",-14.2462934740567,"Nivel Alto","Nivel Bajo",2105,2114
"677","2012 BN123","2074-2110",4,2.8e-09,10.15,23.2,0.078,-7.86,"Muy Largo Plazo",-19.6936464197653,"Nivel Bajo","Nivel Bajo",2074,2110
"678","2012 TP20","2069-2079",2,4.8e-07,7.31,27.8,0.009,-7.87,"Muy Largo Plazo",-14.5494797330445,"Nivel Alto","Nivel Bajo",2069,2079
"679","2015 KA158","2024-2113",36,3.2e-08,13.71,26.6,0.016,-7.87,"Medio Plazo",-17.2575299341467,"Nivel Medio","Nivel Bajo",2024,2113
"680","2016 GS134","2054-2070",2,3.3e-07,11.02,27.9,0.009,-7.87,"Muy Largo Plazo",-14.9241731824859,"Nivel Alto","Nivel Bajo",2054,2070
"681","2017 HY3","2024-2024",1,2.1e-09,16.89,25.4,0.028,-7.87,"Medio Plazo",-19.981328492217,"Nivel Bajo","Nivel Bajo",2024,2024
"682","2017 UL6","2058-2106",23,4.7e-05,7.13,32,0.001,-7.87,"Muy Largo Plazo",-9.96536295625422,"Nivel Alto","Nivel Bajo",2058,2106
"683","2017 UF","2066-2082",2,1.8e-07,23.24,27.9,0.009,-7.87,"Muy Largo Plazo",-15.5303089860562,"Nivel Alto","Nivel Bajo",2066,2082
"684","2017 UZ","2113-2113",1,6.9e-08,13.17,26,0.021,-7.88,"Muy Largo Plazo",-16.4891593323492,"Nivel Medio","Nivel Bajo",2113,2113
"685","2001 YN2","2020-2020",1,5.7e-10,18.49,24.9,0.035,-7.89,"Medio Plazo",-21.2853847551,"Nivel Bajo","Nivel Bajo",2020,2020
"686","2017 UQ6","2080-2090",2,3.4e-07,3.03,27.1,0.013,-7.89,"Muy Largo Plazo",-14.8943202193362,"Nivel Medio","Nivel Bajo",2080,2090
"687","2008 EF85","2110-2110",3,1.7e-07,9.53,26.7,0.016,-7.91,"Muy Largo Plazo",-15.5874673998962,"Nivel Medio","Nivel Bajo",2110,2110
"688","2015 HE1","2098-2098",1,1.4e-07,14.6,27,0.013,-7.94,"Muy Largo Plazo",-15.7816234143371,"Nivel Medio","Nivel Bajo",2098,2098
"689","2017 VF14","2080-2094",6,7.6e-07,11.85,28.5,0.007,-7.94,"Muy Largo Plazo",-14.089947403666,"Nivel Alto","Nivel Bajo",2080,2094
"690","2010 XB","2027-2029",2,2.5e-07,19.67,29.6,0.004,-7.95,"Largo Plazo",-15.2018049190842,"Nivel Alto","Nivel Bajo",2027,2029
"691","2015 HO182","2024-2107",32,4.3e-08,9.31,27.1,0.013,-7.96,"Medio Plazo",-16.9620657212528,"Nivel Medio","Nivel Bajo",2024,2107
"692","2011 SE191","2098-2098",1,1.6e-08,14.57,25.1,0.033,-7.98,"Muy Largo Plazo",-17.9506771147066,"Nivel Bajo","Nivel Bajo",2098,2098
"693","2015 SK7","2059-2107",4,9.2e-07,12.16,28.8,0.006,-7.99,"Muy Largo Plazo",-13.8988921669033,"Nivel Alto","Nivel Bajo",2059,2107
"694","2008 VB4","2030-2106",18,1.2e-07,11.59,28.2,0.008,-8.04,"Largo Plazo",-15.9357740941644,"Nivel Alto","Nivel Bajo",2030,2106
"695","2016 VF18","2031-2082",6,2.4e-06,10.06,29.8,0.004,-8.04,"Largo Plazo",-12.9400418206104,"Nivel Alto","Nivel Bajo",2031,2082
"696","2017 YD2","2055-2065",4,5.9e-07,8.49,28.7,0.006,-8.06,"Muy Largo Plazo",-14.3431433000466,"Nivel Alto","Nivel Bajo",2055,2065
"697","2013 NR13","2114-2114",1,4e-08,11.31,25.8,0.024,-8.06,"Muy Largo Plazo",-17.0343863828325,"Nivel Medio","Nivel Bajo",2114,2114
"698","2014 HM199","2025-2104",2,4.9e-10,10.54,23.7,0.063,-8.07,"Largo Plazo",-21.4366157248239,"Nivel Bajo","Nivel Bajo",2025,2104
"699","2015 FU344","2066-2111",10,7e-06,9.92,31,0.002,-8.1,"Muy Largo Plazo",-11.869600408909,"Nivel Alto","Nivel Bajo",2066,2111
"700","2015 PS228","2080-2115",3,1.4e-06,2.55,28.9,0.005,-8.1,"Muy Largo Plazo",-13.4790383213431,"Nivel Alto","Nivel Bajo",2080,2115
"701","2016 FE15","2068-2116",3,5.7e-07,12.21,28.8,0.006,-8.13,"Muy Largo Plazo",-14.3776294761178,"Nivel Alto","Nivel Bajo",2068,2116
"702","2010 YD","2091-2091",1,7.9e-08,8.99,26.6,0.016,-8.13,"Muy Largo Plazo",-16.3538179844794,"Nivel Medio","Nivel Bajo",2091,2091
"703","2006 BO7","2060-2115",4,9.4e-07,9.83,29.3,0.005,-8.14,"Muy Largo Plazo",-13.8773859616824,"Nivel Alto","Nivel Bajo",2060,2115
"704","2015 FN36","2117-2117",1,2.3e-09,21.85,23.9,0.056,-8.14,"Muy Largo Plazo",-19.8903567140113,"Nivel Bajo","Nivel Bajo",2117,2117
"705","2016 AF2","2072-2093",6,2.6e-07,5.87,27.8,0.009,-8.17,"Muy Largo Plazo",-15.1625842059309,"Nivel Alto","Nivel Bajo",2072,2093
"706","2015 HD1","2047-2060",2,4.9e-08,15.69,27.4,0.011,-8.18,"Largo Plazo",-16.8314455388358,"Nivel Alto","Nivel Bajo",2047,2060
"707","2014 HE197","2028-2098",22,6.1e-09,16.73,25.5,0.027,-8.18,"Largo Plazo",-18.9149770657671,"Nivel Bajo","Nivel Bajo",2028,2098
"708","2013 VJ13","2099-2099",1,2e-09,16.09,23.8,0.06,-8.19,"Muy Largo Plazo",-20.0301186563865,"Nivel Bajo","Nivel Bajo",2099,2099
"709","2009 WQ52","2037-2037",1,7.1e-08,14.76,28.2,0.008,-8.2,"Largo Plazo",-16.4605859599051,"Nivel Alto","Nivel Bajo",2037,2037
"710","2004 BK86","2078-2078",1,9.4e-09,15.77,25.4,0.028,-8.2,"Muy Largo Plazo",-18.4825561476705,"Nivel Bajo","Nivel Bajo",2078,2078
"711","2012 WR10","2087-2096",2,7.7e-07,2.73,28.5,0.007,-8.21,"Muy Largo Plazo",-14.0768753220987,"Nivel Alto","Nivel Bajo",2087,2096
"712","2014 HN199","2038-2115",16,1.5e-08,17.99,26.4,0.018,-8.22,"Largo Plazo",-18.0152156358442,"Nivel Medio","Nivel Bajo",2038,2115
"713","2014 KW76","2115-2115",1,2.7e-07,15,28,0.008,-8.22,"Muy Largo Plazo",-15.124843877948,"Nivel Alto","Nivel Bajo",2115,2115
"714","2014 QJ365","2095-2113",2,1.5e-07,12.06,27.5,0.011,-8.22,"Muy Largo Plazo",-15.7126305428502,"Nivel Alto","Nivel Bajo",2095,2113
"715","2016 NJ56","2036-2036",1,4e-09,4.95,25.1,0.033,-8.23,"Largo Plazo",-19.3369714758265,"Nivel Bajo","Nivel Bajo",2036,2036
"716","2017 YD1","2102-2117",2,4.5e-06,2.67,30,0.003,-8.24,"Muy Largo Plazo",-12.311433161188,"Nivel Alto","Nivel Bajo",2102,2117
